="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"1","2005","1945","0","11.385","12.16389","10.6383","545","285","260"
"2","2005","1945","0","10.5494","10.67008","10.43372","505","250","255"
"3","2005","1945","0","8.919992","8.066581","9.738134","427","189","238"
"4","2005","1945","0","8.878212","8.749466","9.001637","425","205","220"
"5","2005","1945","0","8.502193","8.706786","8.306056","407","204","203"
"6","2005","1945","0","7.854606","7.469057","8.224223","376","175","201"
"7","2005","1945","0","8.752872","8.151942","9.328969","419","191","228"
"8","2005","1945","0","8.167955","8.834827","7.528642","391","207","184"
"9","2005","1945","0","8.502193","8.450704","8.551555","407","198","209"
"10","2005","1945","0","7.290579","7.426376","7.160393","349","174","175"
"11","2005","1945","0","5.264257","5.29236","5.237316","252","124","128"
"12","2005","1945","0","5.932734","6.017926","5.851064","284","141","143"
"1","2005","1946","0","5.867216","5.739665","5.995865","342","168","174"
"2","2005","1946","0","6.381884","6.525453","6.237078","372","191","181"
"3","2005","1946","0","8.080288","8.370345","7.787733","471","245","226"
"4","2005","1946","0","7.720021","7.687052","7.753274","450","225","225"
"5","2005","1946","0","9.109624","9.326956","8.89042","531","273","258"
"6","2005","1946","0","8.989535","9.190297","8.787043","524","269","255"
"7","2005","1946","0","8.85229","8.131192","9.5796","516","238","278"
"8","2005","1946","0","9.075313","9.053639","9.097174","529","265","264"
"9","2005","1946","0","9.349803","9.361121","9.338387","545","274","271"
"10","2005","1946","0","8.920913","8.575333","9.269469","520","251","269"
"11","2005","1946","0","9.058157","9.156133","8.959338","528","268","260"
"12","2005","1946","0","8.594956","8.882815","8.304618","501","260","241"
"1","2005","1947","0","8.458474","8.664373","8.260739","552","277","275"
"2","2005","1947","0","8.289917","8.070066","8.501051","541","258","283"
"3","2005","1947","0","9.255287","9.227401","9.282067","604","295","309"
"4","2005","1947","0","8.197977","8.3203","8.080505","535","266","269"
"5","2005","1947","0","9.056083","9.477635","8.651247","591","303","288"
"6","2005","1947","0","8.228624","8.070066","8.380895","537","258","279"
"7","2005","1947","0","8.106037","7.85111","8.350856","529","251","278"
"8","2005","1947","0","8.918173","8.633094","9.19195","582","276","306"
"9","2005","1947","0","8.734294","9.634032","7.870231","570","308","262"
"10","2005","1947","0","8.366534","7.85111","8.86152","546","251","295"
"11","2005","1947","0","6.972112","6.412261","7.509763","455","205","250"
"12","2005","1947","0","7.416488","7.788552","7.059177","484","249","235"
"1","2005","1948","0","8.867925","9.093559","8.644117","611","312","299"
"2","2005","1948","0","7.96807","7.898572","8.037005","549","271","278"
"3","2005","1948","0","8.476052","7.927718","9.019948","584","272","312"
"4","2005","1948","0","8.592163","8.4232","8.759757","592","289","303"
"5","2005","1948","0","8.026125","8.160886","7.892454","553","280","273"
"6","2005","1948","0","8.359942","8.335762","8.383926","576","286","290"
"7","2005","1948","0","8.214804","8.335762","8.094825","566","286","280"
"8","2005","1948","0","8.38897","8.27747","8.499566","578","284","294"
"9","2005","1948","0","8.853411","8.510638","9.193408","610","292","318"
"10","2005","1948","0","7.750363","8.044302","7.458803","534","276","258"
"11","2005","1948","0","8.577649","8.976975","8.181555","591","308","283"
"12","2005","1948","0","7.924528","8.015156","7.834634","546","275","271"
"1","2005","1949","0","9.435517","9.60961","9.259259","687","352","335"
"2","2005","1949","0","9.147095","9.69151","8.595909","666","355","311"
"3","2005","1949","0","8.899876","9.82801","7.960199","648","360","288"
"4","2005","1949","0","8.515314","7.998908","9.038143","620","293","327"
"5","2005","1949","0","8.844939","8.572209","9.121061","644","314","330"
"6","2005","1949","0","7.595111","7.234507","7.960199","553","265","288"
"7","2005","1949","0","7.924736","7.725908","8.126036","577","283","294"
"8","2005","1949","0","8.666392","8.271908","9.065782","631","303","328"
"9","2005","1949","0","8.103283","8.108108","8.098397","590","297","293"
"10","2005","1949","0","7.897267","7.644008","8.153676","575","280","295"
"11","2005","1949","0","7.306689","7.289107","7.324489","532","267","265"
"12","2005","1949","0","7.663782","8.026208","7.296849","558","294","264"
"1","2005","1950","0","8.856947","8.667959","9.041689","647","313","334"
"2","2005","1950","0","8.227242","8.086403","8.364916","601","292","309"
"3","2005","1950","0","9.650924","10.5234","8.798051","705","380","325"
"4","2005","1950","0","8.665298","8.944891","8.391987","633","323","310"
"5","2005","1950","0","8.158795","8.252562","8.067136","596","298","298"
"6","2005","1950","0","8.117728","8.141789","8.094207","593","294","299"
"7","2005","1950","0","8.487337","8.612573","8.364916","620","311","309"
"8","2005","1950","0","8.418891","8.169482","8.662696","615","295","320"
"9","2005","1950","0","7.967146","7.920244","8.012994","582","286","296"
"10","2005","1950","0","8.131417","7.227915","9.014618","594","261","333"
"11","2005","1950","0","7.52909","7.864857","7.200866","550","284","266"
"12","2005","1950","0","7.789185","7.587926","7.985923","569","274","295"
"1","2005","1951","0","9.355247","9.319826","9.388646","666","322","344"
"2","2005","1951","0","7.767945","7.756874","7.778384","553","268","285"
"3","2005","1951","0","8.737182","8.885673","8.597162","622","307","315"
"4","2005","1951","0","8.315775","8.191027","8.433406","592","283","309"
"5","2005","1951","0","8.596713","8.856729","8.351528","612","306","306"
"6","2005","1951","0","8.147212","8.509407","7.805677","580","294","286"
"7","2005","1951","0","8.568619","8.248915","8.870087","610","285","325"
"8","2005","1951","0","8.498385","8.509407","8.487991","605","294","311"
"9","2005","1951","0","8.091024","8.219971","7.969432","576","284","292"
"10","2005","1951","0","7.908414","7.554269","8.242358","563","261","302"
"11","2005","1951","0","7.304397","7.612156","7.014192","520","263","257"
"12","2005","1951","0","8.709088","8.335745","9.061135","620","288","332"
"1","2005","1952","0","9.148701","8.671012","9.603453","662","306","356"
"2","2005","1952","0","8.858485","9.039388","8.686269","641","319","322"
"3","2005","1952","0","9.314538","9.464438","9.171837","674","334","340"
"4","2005","1952","0","8.153676","8.444319","7.876989","590","298","292"
"5","2005","1952","0","9.328358","8.897705","9.738333","675","314","361"
"6","2005","1952","0","7.808181","7.905922","7.715134","565","279","286"
"7","2005","1952","0","8.015478","8.387645","7.661182","580","296","284"
"8","2005","1952","0","8.52681","8.189289","8.848125","617","289","328"
"9","2005","1952","0","8.126036","7.792576","8.443485","588","275","313"
"10","2005","1952","0","7.573245","7.650893","7.499326","548","270","278"
"11","2005","1952","0","7.808181","8.104279","7.526302","565","286","279"
"12","2005","1952","0","7.338308","7.452536","7.229566","531","263","268"
"1","2005","1953","0","9.104704","8.847795","9.346545","660","311","349"
"2","2005","1953","0","8.001104","7.965861","8.03428","580","280","300"
"3","2005","1953","0","9.035729","9.217639","8.864488","655","324","331"
"4","2005","1953","0","8.966754","8.933144","8.998393","650","314","336"
"5","2005","1953","0","8.277004","8.59175","7.980718","600","302","298"
"6","2005","1953","0","9.063319","8.733997","9.373326","657","307","350"
"7","2005","1953","0","9.008139","9.388336","8.650241","653","330","323"
"8","2005","1953","0","7.780384","7.823613","7.739689","564","275","289"
"9","2005","1953","0","8.125259","8.307255","7.953937","589","292","297"
"10","2005","1953","0","7.587253","8.108108","7.096947","550","285","265"
"11","2005","1953","0","7.435508","7.197724","7.659347","539","253","286"
"12","2005","1953","0","7.614843","6.88478","8.302089","552","242","310"
"1","2005","1954","0","8.533768","8.502927","8.563097","628","305","323"
"2","2005","1954","0","8.819133","8.781712","8.854719","649","315","334"
